Item  Item,2018,2019,2020,2021,2022,5-year trend
Net Income before Extraordinaries,-,-,63.23M,105.31M,138.23M,
Net Income Growth,-,-,-,66.55%,31.25%,
"Depreciation, Depletion & Amortization",-,-,1.07B,1.18B,1.26B,
Depreciation and Depletion,-,-,1.07B,1.18B,1.26B,
Amortization of Intangible Assets,-,-,-,-,-,
Deferred Taxes & Investment Tax Credit,-,-,(2.38M),2.84M,(13.62M),
Deferred Taxes,-,-,(2.38M),2.84M,(13.62M),
Investment Tax Credit,-,-,-,-,-,
Other Funds,(450.61M),(708.62M),(593.41M),(782.6M),260.83M,
Funds from Operations,466.28M,262.09M,540.95M,504.76M,1.64B,
Extraordinaries,-,-,-,-,-,
Changes in Working Capital,-,-,223.21M,265.65M,(2.01B),
Receivables,-,-,1.33B,(196.99M),(574.44M),
Accounts Payable,-,-,(88.13M),(23.86M),64.36M,
Other Assets/Liabilities,-,-,425.05M,37.41M,90.19M,
Net Operating Cash Flow,466.28M,262.09M,764.16M,770.41M,(363.36M),
Net Operating Cash Flow Growth,-,-43.79%,191.56%,0.82%,-147.16%,
Net Operating Cash Flow / Sales,2.92%,1.66%,6.47%,6.55%,-2.80%,
